id,full_name,gender,age,email,phone,education,college,iit_iim_nit,serial_entrepreneur,linkedin_profile,experience_years,prev_company,created_at,updated_at
18,Rohit Tiwari,Male,37,rohit.tiwari73@gmail.com,+91-9667292043,B.Tech,Delhi University,No,Yes,https://linkedin.com/in/rohit-tiwari-881,7,None,2018-05-14 08:42:05,2023-06-10 07:11:35
19,Sanjay Sharma,Male,37,sanjay.sharma89@gmail.com,+91-9550399650,CA,VIT,No,No,https://linkedin.com/in/sanjay-sharma-133,8,Wipro,2023-12-05 09:44:55,2024-04-09 02:43:14
20,Mohit Tiwari,Male,45,mohit.tiwari55@gmail.com,+91-7492960451,PGDM,NIT Trichy,Yes,No,https://linkedin.com/in/mohit-tiwari-763,5,Wipro,2017-08-05 02:03:10,2023-11-11 19:47:52
21,Pankaj Agarwal,Male,38,pankaj.agarwal90@gmail.com,+91-8728760924,M.Sc,Delhi University,No,No,https://linkedin.com/in/pankaj-agarwal-548,3,Paytm,2016-06-12 13:47:20,2024-09-10 08:01:05
22,Radha Chaudhary,Female,42,radha.chaudhary98@gmail.com,+91-9887427412,M.Sc,IIT Bombay,Yes,Yes,https://linkedin.com/in/radha-chaudhary-881,25,Infosys,2021-04-11 16:41:28,2023-10-12 05:37:27
23,Vikram Shah,Male,35,vikram.shah43@gmail.com,+91-8378934717,M.Tech,BHU,No,No,https://linkedin.com/in/vikram-shah-437,14,None,2021-07-22 09:42:25,2024-07-17 01:29:05
24,Nikhil Banerjee,Male,27,nikhil.banerjee66@gmail.com,+91-7004943787,PGDM,Jadavpur University,No,No,https://linkedin.com/in/nikhil-banerjee-523,2,TCS,2021-10-24 11:39:48,2024-05-25 20:28:48
25,Aditya Malhotra,Male,41,aditya.malhotra37@gmail.com,+91-8881694278,CA,IIM Ahmedabad,Yes,Yes,https://linkedin.com/in/aditya-malhotra-129,21,Paytm,2018-09-07 22:10:19,2024-07-18 00:35:26
26,Karan Agarwal,Male,38,karan.agarwal83@gmail.com,+91-7661300942,CA,IIT Kharagpur,Yes,No,https://linkedin.com/in/karan-agarwal-621,23,Wipro,2020-08-28 15:30:15,2024-04-12 17:09:24
27,Vandana Dubey,Female,40,vandana.dubey9@gmail.com,+91-8186473561,B.Com,IIM Ahmedabad,Yes,No,https://linkedin.com/in/vandana-dubey-906,17,Wipro,2016-01-11 09:46:19,2024-08-24 18:42:31
28,Pallavi Modi,Female,39,pallavi.modi43@gmail.com,+91-9370467256,PGDM,Anna University,No,No,https://linkedin.com/in/pallavi-modi-566,11,TCS,2023-10-27 07:36:24,2023-08-28 13:02:20
29,Varun Sen,Male,36,varun.sen64@gmail.com,+91-7158998032,MBA,IIM Ahmedabad,Yes,No,https://linkedin.com/in/varun-sen-990,4,BYJU'S,2017-02-12 16:58:29,2023-01-16 23:09:26
30,Ananya Shah,Female,49,ananya.shah44@gmail.com,+91-9676878743,B.Com,BITS Pilani,Yes,Yes,https://linkedin.com/in/ananya-shah-972,11,None,2021-12-25 12:20:40,2024-05-14 17:02:39
31,Karan Kapoor,Male,31,karan.kapoor56@gmail.com,+91-7422809996,M.Tech,IIT Madras,Yes,No,https://linkedin.com/in/karan-kapoor-270,23,Wipro,2016-04-28 01:20:50,2023-02-27 09:22:23
32,Rajesh Pillai,Male,40,rajesh.pillai73@gmail.com,+91-9928310291,MBA,BHU,No,No,https://linkedin.com/in/rajesh-pillai-279,3,Paytm,2020-04-15 19:43:15,2024-05-24 18:09:14
33,Mahesh Chopra,Male,38,mahesh.chopra86@gmail.com,+91-7040361651,CA,BITS Pilani,Yes,No,https://linkedin.com/in/mahesh-chopra-793,18,Infosys,2016-10-29 14:22:37,2023-11-03 20:27:44
34,Pankaj Khanna,Male,30,pankaj.khanna62@gmail.com,+91-7458072318,B.Sc,Jadavpur University,No,No,https://linkedin.com/in/pankaj-khanna-685,12,Paytm,2019-04-26 22:18:01,2024-11-05 12:17:00
35,Tarun Dubey,Male,47,tarun.dubey37@gmail.com,+91-7988350974,B.E,SRM,No,No,https://linkedin.com/in/tarun-dubey-324,21,TCS,2022-12-18 08:43:48,2024-11-06 21:53:08
36,Ashish Singh,Male,33,ashish.singh5@gmail.com,+91-9489250532,PhD,VIT,No,No,https://linkedin.com/in/ashish-singh-192,10,Flipkart,2020-08-28 05:12:08,2024-07-06 11:33:32
37,Sidharth Reddy,Male,32,sidharth.reddy38@gmail.com,+91-8454770940,M.Tech,SRM,No,No,https://linkedin.com/in/sidharth-reddy-177,5,None,2018-07-13 21:46:43,2024-02-11 17:23:05
38,Rahul Chopra,Male,41,rahul.chopra59@gmail.com,+91-8583063357,M.Sc,IIT Kharagpur,Yes,No,https://linkedin.com/in/rahul-chopra-942,21,Flipkart,2017-03-19 21:14:30,2023-01-26 19:56:35
39,Tarun Yadav,Male,31,tarun.yadav82@gmail.com,+91-8994013856,M.Sc,IIT Madras,Yes,No,https://linkedin.com/in/tarun-yadav-219,5,Google,2016-06-01 09:31:07,2023-04-10 07:56:34
40,Ankita Basu,Female,35,ankita.basu54@gmail.com,+91-9522607583,MBA,Amity,No,No,https://linkedin.com/in/ankita-basu-770,4,BYJU'S,2022-11-26 13:17:02,2024-12-07 11:13:28
41,Karan Das,Male,27,karan.das70@gmail.com,+91-9769510048,PhD,Anna University,No,Yes,https://linkedin.com/in/karan-das-507,9,TCS,2017-05-15 14:05:42,2023-08-06 20:40:38
42,Amit Chatterjee,Male,31,amit.chatterjee73@gmail.com,+91-7881351238,M.Tech,IIM Ahmedabad,Yes,No,https://linkedin.com/in/amit-chatterjee-700,7,TCS,2019-09-07 04:50:57,2024-09-02 00:17:54
43,Kavya Modi,Female,32,kavya.modi15@gmail.com,+91-9839220941,B.Tech,IIM Bangalore,Yes,No,https://linkedin.com/in/kavya-modi-115,12,None,2018-09-01 18:20:01,2023-06-28 08:03:08
44,Alok Agarwal,Male,47,alok.agarwal61@gmail.com,+91-8925327382,PhD,IIT Madras,Yes,Yes,https://linkedin.com/in/alok-agarwal-562,17,TCS,2022-11-24 01:46:50,2024-11-05 16:19:29
45,Amit Shah,Male,51,amit.shah55@gmail.com,+91-9946766309,M.Tech,Jadavpur University,No,No,https://linkedin.com/in/amit-shah-829,15,Amazon,2016-11-26 10:38:09,2023-03-09 04:17:39
46,Deepak Dubey,Male,40,deepak.dubey59@gmail.com,+91-9171325343,B.E,Delhi University,No,No,https://linkedin.com/in/deepak-dubey-201,23,Amazon,2023-05-05 20:56:49,2024-07-18 23:55:13
47,Pankaj Iyer,Male,37,pankaj.iyer59@gmail.com,+91-8712533097,B.Com,Pune University,No,Yes,https://linkedin.com/in/pankaj-iyer-420,14,Flipkart,2023-06-17 08:23:09,2024-12-04 15:04:05
48,Vikram Roy,Male,27,vikram.roy17@gmail.com,+91-9389594115,B.Tech,Anna University,No,No,https://linkedin.com/in/vikram-roy-786,4,Zomato,2019-12-19 21:48:27,2023-02-22 09:38:19
49,Arjun Chaudhary,Male,40,arjun.chaudhary20@gmail.com,+91-9820660931,CA,NIT Trichy,Yes,No,https://linkedin.com/in/arjun-chaudhary-967,4,Flipkart,2022-03-28 11:07:48,2023-10-13 18:14:51
50,Dinesh Bhatt,Male,48,dinesh.bhatt79@gmail.com,+91-9899002906,PGDM,FMS Delhi,No,Yes,https://linkedin.com/in/dinesh-bhatt-723,22,None,2018-12-31 00:11:17,2024-12-20 09:58:21
51,Rahul Nair,Male,51,rahul.nair73@gmail.com,+91-9823273703,B.Com,IIM Ahmedabad,Yes,Yes,https://linkedin.com/in/rahul-nair-245,24,None,2016-05-05 02:47:33,2023-08-09 12:26:29
52,Sanjay Das,Male,33,sanjay.das73@gmail.com,+91-9560761628,M.Tech,Pune University,No,Yes,https://linkedin.com/in/sanjay-das-259,6,None,2022-12-05 01:43:05,2023-10-06 14:42:27
53,Pradeep Mukherjee,Male,37,pradeep.mukherjee28@gmail.com,+91-9200510647,M.Tech,BITS Pilani,Yes,No,https://linkedin.com/in/pradeep-mukherjee-540,4,Wipro,2023-08-09 21:37:31,2024-06-23 21:19:02
54,Ankita Dubey,Female,25,ankita.dubey27@gmail.com,+91-8294586283,B.Sc,IIT Bombay,Yes,No,https://linkedin.com/in/ankita-dubey-882,9,Wipro,2019-09-05 03:00:31,2024-03-16 05:08:24
55,Lakshmi Bhatt,Female,50,lakshmi.bhatt10@gmail.com,+91-8705407682,B.Tech,Anna University,No,No,https://linkedin.com/in/lakshmi-bhatt-119,15,Amazon,2019-07-06 18:27:36,2024-02-19 22:40:26
56,Arjun Ghosh,Male,24,arjun.ghosh22@gmail.com,+91-9654827789,CA,Pune University,No,No,https://linkedin.com/in/arjun-ghosh-190,14,Amazon,2018-09-23 13:37:25,2024-06-20 02:25:55
57,Ravi Chatterjee,Male,31,ravi.chatterjee22@gmail.com,+91-7328046924,PGDM,Pune University,No,Yes,https://linkedin.com/in/ravi-chatterjee-643,17,TCS,2019-12-02 11:46:52,2024-10-22 04:15:06
58,Ritu Menon,Female,29,ritu.menon20@gmail.com,+91-9815389788,M.Tech,FMS Delhi,No,No,https://linkedin.com/in/ritu-menon-891,21,BYJU'S,2021-03-15 18:48:37,2024-04-04 21:59:56
59,Dinesh Banerjee,Male,28,dinesh.banerjee9@gmail.com,+91-9014000727,CA,VIT,No,No,https://linkedin.com/in/dinesh-banerjee-915,9,Paytm,2016-08-18 11:32:04,2023-11-14 14:28:02
60,Manish Kapoor,Male,26,manish.kapoor79@gmail.com,+91-9551553388,PGDM,IIT Madras,Yes,No,https://linkedin.com/in/manish-kapoor-573,19,Ola,2016-06-17 14:58:51,2024-08-08 20:12:20
61,Alok Mishra,Male,25,alok.mishra14@gmail.com,+91-8475054001,M.Tech,VIT,No,No,https://linkedin.com/in/alok-mishra-140,8,None,2020-11-28 14:33:33,2024-09-16 05:23:23
62,Deepak Dutta,Male,48,deepak.dutta87@gmail.com,+91-9567900251,B.Tech,Pune University,No,No,https://linkedin.com/in/deepak-dutta-167,11,Amazon,2022-04-04 21:24:18,2023-09-16 23:54:42
63,Shreya Mehta,Female,42,shreya.mehta45@gmail.com,+91-8332435144,B.Com,IIM Ahmedabad,Yes,No,https://linkedin.com/in/shreya-mehta-709,23,Amazon,2019-06-22 17:24:41,2023-12-03 04:42:44
64,Mahesh Roy,Male,40,mahesh.roy3@gmail.com,+91-8557345129,M.Sc,Anna University,No,No,https://linkedin.com/in/mahesh-roy-319,11,None,2021-06-14 06:14:08,2023-06-08 02:18:54
65,Alok Modi,Male,50,alok.modi5@gmail.com,+91-9842964443,PhD,Manipal,No,No,https://linkedin.com/in/alok-modi-711,13,Infosys,2017-10-26 05:53:44,2024-10-01 05:46:28
66,Gaurav Das,Male,45,gaurav.das57@gmail.com,+91-9622487366,M.Sc,NIT Warangal,Yes,No,https://linkedin.com/in/gaurav-das-339,18,TCS,2019-06-21 15:57:53,2023-07-18 11:43:36
67,Pankaj Kapoor,Male,48,pankaj.kapoor65@gmail.com,+91-9265422548,B.Com,Jadavpur University,No,No,https://linkedin.com/in/pankaj-kapoor-936,7,None,2022-10-12 04:55:16,2023-02-23 20:30:55
68,Harsh Joshi,Male,46,harsh.joshi16@gmail.com,+91-8224336336,M.Tech,Manipal,No,No,https://linkedin.com/in/harsh-joshi-379,15,Ola,2017-08-26 13:05:58,2023-08-16 14:56:22
69,Gaurav Patel,Male,36,gaurav.patel48@gmail.com,+91-8012659111,B.Com,Manipal,No,Yes,https://linkedin.com/in/gaurav-patel-483,8,Google,2019-07-29 03:53:45,2024-10-27 10:50:09
70,Sneha Kapoor,Female,50,sneha.kapoor90@gmail.com,+91-7596110070,CA,SRM,No,No,https://linkedin.com/in/sneha-kapoor-730,1,Amazon,2016-03-18 08:13:53,2023-06-03 17:46:38
71,Arjun Kapoor,Male,31,arjun.kapoor16@gmail.com,+91-7205082311,B.Sc,Delhi University,No,No,https://linkedin.com/in/arjun-kapoor-754,20,BYJU'S,2016-09-14 03:53:57,2024-05-26 19:34:01
72,Sita Mishra,Female,33,sita.mishra1@gmail.com,+91-9640587058,PhD,BHU,No,No,https://linkedin.com/in/sita-mishra-684,14,Infosys,2023-06-14 21:05:33,2024-01-05 02:33:34
73,Deepak Shah,Male,25,deepak.shah48@gmail.com,+91-8089419573,B.Tech,Jadavpur University,No,No,https://linkedin.com/in/deepak-shah-907,3,Flipkart,2018-09-14 23:42:40,2023-04-17 18:47:48
74,Rajesh Singh,Male,35,rajesh.singh44@gmail.com,+91-9760786161,MBA,Amity,No,No,https://linkedin.com/in/rajesh-singh-812,16,None,2018-01-16 04:04:45,2024-04-13 01:18:12
75,Mohit Menon,Male,52,mohit.menon41@gmail.com,+91-8331765783,PGDM,IIT Delhi,Yes,No,https://linkedin.com/in/mohit-menon-934,18,BYJU'S,2018-11-03 01:48:41,2023-07-15 09:22:55
76,Dinesh Chatterjee,Male,32,dinesh.chatterjee48@gmail.com,+91-8876691885,B.Com,IIT Kharagpur,Yes,No,https://linkedin.com/in/dinesh-chatterjee-495,11,Infosys,2021-07-25 22:31:23,2024-06-15 08:51:05
77,Vikram Roy,Male,43,vikram.roy70@gmail.com,+91-8261717180,PhD,IIM Bangalore,Yes,Yes,https://linkedin.com/in/vikram-roy-181,11,None,2019-04-25 09:28:38,2024-03-12 05:44:28
78,Pankaj Singh,Male,47,pankaj.singh79@gmail.com,+91-8868055235,M.Sc,Anna University,No,Yes,https://linkedin.com/in/pankaj-singh-176,22,None,2020-07-21 11:32:51,2024-11-26 05:01:09
79,Amit Verma,Male,26,amit.verma83@gmail.com,+91-8573368806,PhD,NIT Warangal,Yes,No,https://linkedin.com/in/amit-verma-680,2,Paytm,2017-09-20 21:28:23,2024-01-16 14:48:04
80,Lakshmi Das,Female,36,lakshmi.das84@gmail.com,+91-8196963451,B.Sc,Pune University,No,Yes,https://linkedin.com/in/lakshmi-das-126,24,Infosys,2021-08-06 16:24:58,2024-07-29 03:16:49
81,Varun Mukherjee,Male,30,varun.mukherjee37@gmail.com,+91-9980624159,CA,FMS Delhi,No,No,https://linkedin.com/in/varun-mukherjee-225,5,Amazon,2021-01-25 05:57:45,2024-03-31 02:51:43
82,Kunal Bose,Male,46,kunal.bose71@gmail.com,+91-9328608265,M.Sc,IIT Madras,Yes,No,https://linkedin.com/in/kunal-bose-971,6,None,2023-12-16 22:40:11,2024-01-06 16:14:07
83,Mala Verma,Female,31,mala.verma4@gmail.com,+91-8550038771,PGDM,SRM,No,No,https://linkedin.com/in/mala-verma-578,18,Infosys,2022-11-11 02:04:19,2024-02-12 22:46:30
84,Ankit Dutta,Male,50,ankit.dutta10@gmail.com,+91-7538274418,PhD,XLRI,No,Yes,https://linkedin.com/in/ankit-dutta-560,15,None,2021-10-20 11:08:56,2024-07-18 20:37:11
85,Shweta Trivedi,Female,51,shweta.trivedi16@gmail.com,+91-9225231724,MBA,IIT Delhi,Yes,No,https://linkedin.com/in/shweta-trivedi-268,6,Flipkart,2023-12-15 07:22:33,2023-10-18 02:16:12
86,Rajesh Khanna,Male,43,rajesh.khanna12@gmail.com,+91-9158535229,MBA,Amity,No,No,https://linkedin.com/in/rajesh-khanna-275,22,Paytm,2022-10-14 10:53:59,2024-07-31 01:52:55
87,Vikram Singh,Male,44,vikram.singh34@gmail.com,+91-9796581976,B.Sc,XLRI,No,No,https://linkedin.com/in/vikram-singh-732,21,Google,2021-08-01 20:34:18,2024-10-19 09:30:15
88,Rohit Basu,Male,26,rohit.basu21@gmail.com,+91-8888091245,B.Com,IIT Delhi,Yes,No,https://linkedin.com/in/rohit-basu-575,7,Flipkart,2022-10-20 04:20:55,2023-11-23 23:55:22
89,Rajesh Das,Male,40,rajesh.das14@gmail.com,+91-8370592316,B.Sc,Amity,No,No,https://linkedin.com/in/rajesh-das-225,9,BYJU'S,2018-10-12 04:06:03,2023-10-25 12:55:39
90,Karan Reddy,Male,50,karan.reddy74@gmail.com,+91-8343100352,B.Sc,Pune University,No,No,https://linkedin.com/in/karan-reddy-610,17,BYJU'S,2021-08-04 09:31:01,2023-04-03 12:32:29
91,Nisha Tiwari,Female,35,nisha.tiwari7@gmail.com,+91-8208416260,CA,IIT Delhi,Yes,No,https://linkedin.com/in/nisha-tiwari-392,18,Google,2017-03-16 13:08:56,2023-09-28 23:23:48
92,Manish Singh,Male,36,manish.singh73@gmail.com,+91-9412985084,B.Sc,IIT Delhi,Yes,No,https://linkedin.com/in/manish-singh-666,10,Amazon,2020-05-01 16:28:48,2024-07-17 08:52:39
93,Rajesh Joshi,Male,36,rajesh.joshi44@gmail.com,+91-9395869480,PhD,Anna University,No,No,https://linkedin.com/in/rajesh-joshi-303,20,Ola,2020-07-02 16:02:02,2023-02-09 04:45:21
94,Alok Basu,Male,28,alok.basu66@gmail.com,+91-7600354779,PhD,FMS Delhi,No,No,https://linkedin.com/in/alok-basu-266,13,Paytm,2019-05-10 18:21:32,2024-06-05 17:31:45
95,Vivek Gupta,Male,35,vivek.gupta87@gmail.com,+91-7470748124,B.Com,Pune University,No,No,https://linkedin.com/in/vivek-gupta-915,24,None,2023-01-21 00:38:30,2023-09-29 20:50:49
96,Usha Patel,Female,42,usha.patel22@gmail.com,+91-9251560728,B.E,SRM,No,No,https://linkedin.com/in/usha-patel-251,22,TCS,2016-05-09 18:44:07,2023-07-15 00:28:20
97,Rajesh Dutta,Male,46,rajesh.dutta53@gmail.com,+91-9155298355,B.E,NIT Trichy,Yes,No,https://linkedin.com/in/rajesh-dutta-993,24,None,2016-09-12 22:08:33,2023-08-01 17:20:42
98,Alok Sen,Male,34,alok.sen59@gmail.com,+91-9289763301,PhD,IIM Bangalore,Yes,No,https://linkedin.com/in/alok-sen-792,25,None,2023-08-20 20:51:44,2023-09-28 19:30:12
99,Ritu Bhatt,Female,33,ritu.bhatt39@gmail.com,+91-8241263320,B.Sc,NIT Warangal,Yes,No,https://linkedin.com/in/ritu-bhatt-424,16,Flipkart,2022-04-14 23:17:18,2023-05-05 18:43:34
100,Ashish Ghosh,Male,50,ashish.ghosh99@gmail.com,+91-7629110165,M.Sc,Anna University,No,Yes,https://linkedin.com/in/ashish-ghosh-394,23,Amazon,2019-11-19 14:41:16,2024-05-05 06:12:52
101,Tarun Bhatt,Male,46,tarun.bhatt18@gmail.com,+91-7469124598,B.E,BITS Pilani,Yes,No,https://linkedin.com/in/tarun-bhatt-348,2,None,2021-12-15 07:40:14,2023-02-23 03:26:21
102,Arjun Verma,Male,24,arjun.verma21@gmail.com,+91-8747654202,CA,Amity,No,No,https://linkedin.com/in/arjun-verma-766,7,None,2019-03-22 10:18:41,2023-03-02 02:41:36
103,Sunita Singh,Female,29,sunita.singh23@gmail.com,+91-7156078445,B.Com,BHU,No,No,https://linkedin.com/in/sunita-singh-290,24,Wipro,2016-06-02 00:19:36,2024-09-09 03:59:21
104,Pankaj Modi,Male,40,pankaj.modi18@gmail.com,+91-9165576952,CA,SRM,No,No,https://linkedin.com/in/pankaj-modi-297,4,Flipkart,2017-10-27 23:29:41,2023-09-21 22:11:00
105,Mohit Kapoor,Male,42,mohit.kapoor23@gmail.com,+91-9624029587,B.Com,NIT Trichy,Yes,No,https://linkedin.com/in/mohit-kapoor-627,11,Amazon,2020-06-29 21:06:11,2023-05-24 15:20:59
106,Priya Chopra,Female,36,priya.chopra58@gmail.com,+91-8146731886,PhD,NIT Warangal,Yes,No,https://linkedin.com/in/priya-chopra-696,24,Paytm,2016-02-16 08:41:23,2024-12-10 07:03:42
107,Pankaj Khanna,Male,29,pankaj.khanna88@gmail.com,+91-9158308965,M.Sc,Jadavpur University,No,Yes,https://linkedin.com/in/pankaj-khanna-754,10,Flipkart,2022-11-22 07:14:08,2024-05-04 04:29:47
108,Gaurav Bhatt,Male,39,gaurav.bhatt86@gmail.com,+91-7938070754,B.Sc,Amity,No,Yes,https://linkedin.com/in/gaurav-bhatt-638,15,Ola,2023-11-22 11:04:58,2024-07-31 03:03:53
109,Geeta Modi,Female,28,geeta.modi42@gmail.com,+91-9234849897,CA,IIM Bangalore,Yes,Yes,https://linkedin.com/in/geeta-modi-796,7,None,2022-07-16 15:05:57,2024-06-06 14:51:03
110,Rajesh Trivedi,Male,37,rajesh.trivedi73@gmail.com,+91-7247977570,PGDM,VIT,No,No,https://linkedin.com/in/rajesh-trivedi-788,10,None,2016-03-30 12:16:52,2023-01-04 23:13:37
111,Amit Roy,Male,35,amit.roy70@gmail.com,+91-7258795967,M.Tech,IIT Madras,Yes,No,https://linkedin.com/in/amit-roy-132,10,Zomato,2018-01-07 04:49:41,2024-10-23 13:23:57
112,Pankaj Sen,Male,36,pankaj.sen88@gmail.com,+91-9842377282,PGDM,IIT Madras,Yes,No,https://linkedin.com/in/pankaj-sen-769,12,Amazon,2018-01-01 17:25:33,2023-05-11 23:14:53
113,Ankit Gupta,Male,33,ankit.gupta87@gmail.com,+91-9338374929,B.Com,VIT,No,No,https://linkedin.com/in/ankit-gupta-943,8,TCS,2021-03-01 11:09:17,2023-07-13 23:48:07
114,Mohit Dutta,Male,43,mohit.dutta31@gmail.com,+91-7885113834,M.Tech,IIT Bombay,Yes,Yes,https://linkedin.com/in/mohit-dutta-708,2,BYJU'S,2022-09-14 21:45:55,2023-02-19 07:47:02
115,Pankaj Iyer,Male,41,pankaj.iyer97@gmail.com,+91-7242425303,MBA,NIT Trichy,Yes,No,https://linkedin.com/in/pankaj-iyer-339,24,Paytm,2019-07-30 18:38:49,2024-11-19 10:15:19
116,Radha Pandya,Female,31,radha.pandya39@gmail.com,+91-8181777110,B.Tech,BHU,No,No,https://linkedin.com/in/radha-pandya-741,22,Zomato,2022-03-26 15:03:22,2024-10-20 21:24:50
117,Varun Dutta,Male,37,varun.dutta39@gmail.com,+91-8616884203,MBA,IIM Ahmedabad,Yes,No,https://linkedin.com/in/varun-dutta-346,8,Wipro,2023-12-08 04:51:29,2023-03-01 17:26:26
118,Ankita Pillai,Female,32,ankita.pillai43@gmail.com,+91-9777580509,M.Tech,NIT Trichy,Yes,No,https://linkedin.com/in/ankita-pillai-967,12,Amazon,2022-01-02 23:53:12,2023-02-22 08:24:43
119,Dinesh Kumar,Male,30,dinesh.kumar93@gmail.com,+91-9883858045,PGDM,XLRI,No,No,https://linkedin.com/in/dinesh-kumar-590,7,Flipkart,2019-05-26 00:13:59,2023-07-14 23:07:47
120,Tarun Pillai,Male,46,tarun.pillai91@gmail.com,+91-7878377268,B.Com,FMS Delhi,No,No,https://linkedin.com/in/tarun-pillai-665,11,None,2019-03-05 12:29:34,2024-10-26 11:19:16
121,Alok Desai,Male,38,alok.desai93@gmail.com,+91-9016446001,PhD,IIT Kharagpur,Yes,No,https://linkedin.com/in/alok-desai-479,11,Zomato,2016-07-06 18:55:14,2023-05-30 00:16:35
122,Rohit Mishra,Male,30,rohit.mishra30@gmail.com,+91-8631399401,B.E,Pune University,No,No,https://linkedin.com/in/rohit-mishra-611,18,None,2023-09-06 10:16:48,2024-05-15 23:41:47
123,Pankaj Reddy,Male,47,pankaj.reddy22@gmail.com,+91-7601117291,PGDM,Anna University,No,No,https://linkedin.com/in/pankaj-reddy-288,18,None,2016-08-28 16:02:53,2023-03-18 21:03:48
124,Gaurav Verma,Male,50,gaurav.verma9@gmail.com,+91-7648667392,B.Tech,NIT Warangal,Yes,No,https://linkedin.com/in/gaurav-verma-617,15,Flipkart,2016-09-04 19:40:42,2024-09-23 15:42:31
125,Rahul Modi,Male,41,rahul.modi2@gmail.com,+91-7071838242,PGDM,BHU,No,No,https://linkedin.com/in/rahul-modi-648,10,Google,2021-08-19 22:43:27,2023-07-03 03:58:06
126,Meera Menon,Female,43,meera.menon33@gmail.com,+91-8522312933,M.Sc,Manipal,No,No,https://linkedin.com/in/meera-menon-180,12,Zomato,2021-02-23 18:15:44,2023-08-20 09:43:52
127,Mahesh Singh,Male,26,mahesh.singh49@gmail.com,+91-8619930972,PGDM,Jadavpur University,No,No,https://linkedin.com/in/mahesh-singh-157,21,Google,2023-11-18 05:05:31,2024-03-20 20:50:21
